224;224;MORT PIAMONTESA XBJ;MORT PIAMONTESA XBJ;1;535;9182.00;0;0;0;0;0;P;15;01;
226;226;SALAME MILAN PIAMONTESA X;SALAME MILAN PIAMONTESA XBJ;1;535;22665.00;0;0;0;0;0;P;15;01;
228;228;SALCHICHON PRIMAVERA XBJ;SALCHICHON PRIMAVERA XBJ;1;535;7913.00;0;0;0;0;0;P;15;01;
229;229;F COCIDO PATA DE CERDO XB;F COCIDO PATA DE CERDO XBJ;1;535;14103.00;0;0;0;0;0;P;45;01;
231;231;BARRA TYBO CREMIGAL XBJ;BARRA TYBO CREMIGAL XBJ;11;535;14099.00;0;0;0;0;4;P;15;01;
232;232;JAMON COCIDO PIAMON XBJ;JAMON COCIDO PIAMON XBJ;1;535;16962.00;0;0;0;0;0;P;15;01;
235;235;SALAME MILAN 808 XBJ;SALAME MILAN 808 XBJ;1;535;14487.00;0;0;0;0;0;P;15;01;
242;242;VACIO NOVILLO XKG;VACIO NOVILLO XKG;2;10;14900.00;0;0;0;0;0;P;7;01;
243;243;MATAMBRE NOVILLO XKG;MATAMBRE NOVILLO XKG;2;10;14900.00;0;0;0;0;0;P;7;01;
244;244;COSTILLA NOVILLO +5KG;COSTILLA NOVILLO +5KG;2;10;15143.00;0;0;0;0;0;P;7;01;
246;246;COSTILLA NOVILLO XKG;COSTILLA NOVILLO XKG;2;10;15900.00;0;0;0;0;0;P;7;01;
247;247;MORT GIGANTE XMITAD;MORT GIGANTE XMITAD;1;532;7690.00;0;0;0;0;0;P;45;01;
269;269;MATAMBRE ARROLLADO XKG;MATAMBRE ARROLLADO XKG;5;495;38221.00;0;0;0;0;0;P;2;01;
275;275;CHORIZO ESPECIAL XKG;CHORIZO ESPECIAL XKG;2;11;14074.00;0;0;0;0;0;P;7;01;
280;280;P/SALUT CREMIGAL XPIEZA;P/SALUT CREMIGAL XPIEZA;11;128;9956.00;0;0;0;0;0;P;30;01;
281;281;P/SALUT CREMIGAL XMITAD;P/SALUT CREMIGAL XMITAD;11;128;10952.00;0;0;0;0;0;P;30;01;
